timestamp,twelvedata,finage,yahoo_finance
1631493088,34.09000,34.04,34.18
1631493152,34.09000,34.04,34.18
1631493216,34.09000,34.04,34.18
1631493280,34.09000,34.04,34.18
1631493344,34.09000,34.04,34.18
1631493408,34.09000,34.04,34.18
1631493473,34.09000,34.04,34.18
1631493537,34.09000,34.04,34.18
1631493601,34.09000,34.04,34.18
1631493665,34.09000,34.04,34.18
1631493729,34.09000,34.04,34.18
1631493793,34.09000,34.04,34.18
1631493859,34.09000,34.04,34.18
1631493923,34.09000,34.04,34.18
1631493987,34.09000,34.04,34.18
1631494051,34.09000,34.04,34.18
1631494115,34.09000,34.04,34.18
1631494179,34.09000,34.04,34.18
1631494245,34.09000,34.04,34.18
1631494309,34.09000,34.04,34.18
1631494374,34.09000,34.04,34.18
1631494439,34.09000,34.04,34.18
1631494504,34.09000,34.04,34.18
1631494569,34.09000,34.04,34.18
1631494633,34.09000,34.04,34.18
1631494697,34.09000,34.04,34.18
1631494761,34.09000,34.04,34.18
1631494825,34.09000,34.04,34.18
1631494889,34.09000,34.04,34.18
1631494953,34.09000,34.04,34.18
1631495018,34.09000,34.04,34.18
1631495083,34.09000,34.04,34.18
1631495147,34.09000,34.04,34.18
1631495211,34.09000,34.04,34.18
1631495274,34.09000,34.04,34.18
1631495338,34.09000,34.04,34.18
1631495403,34.09000,34.04,34.18
1631495466,34.09000,34.04,34.18
1631495530,34.09000,34.04,34.18
1631495595,34.09000,34.04,34.18
1631495659,34.09000,34.04,34.18
1631495724,34.09000,34.04,34.18
1631495788,34.09000,34.04,34.18
1631495852,34.09000,34.04,34.18
1631495916,34.09000,34.04,34.18
1631495980,34.09000,34.04,34.18
1631496044,34.09000,34.04,34.18
1631496109,34.09000,34.04,34.18
1631496175,34.09000,34.04,34.18
1631496239,34.09000,34.04,34.18
1631496303,34.09000,34.04,34.18
1631496367,34.09000,34.04,34.18
1631496433,34.09000,34.04,34.18
1631496497,34.09000,34.04,34.18
1631496561,34.09000,34.04,34.18
1631496626,34.09000,34.04,34.18
1631496690,34.09000,34.04,34.18
1631496760,34.09000,34.04,34.18
1631496824,34.09000,34.04,34.18
1631496889,34.09000,34.04,34.18
1631496953,34.09000,34.04,34.18
1631497018,34.09000,34.04,34.18
1631497082,34.09000,34.04,34.18
1631497146,34.09000,34.04,34.18
1631497210,34.09000,34.04,34.18
1631497274,34.09000,34.04,34.18
1631497338,34.09000,34.04,34.18
1631497403,34.09000,34.04,34.18
1631497468,34.09000,34.04,34.18
1631497532,34.09000,34.04,34.18
1631497596,34.09000,34.04,34.18
1631497660,34.09000,34.04,34.18
1631497755,34.09000,34.04,34.18
1631497819,34.09000,34.04,34.18
1631497883,34.09000,34.04,34.18
1631497947,34.09000,34.04,34.18
1631498011,34.09000,34.04,34.18
1631498075,34.09000,34.04,34.18
1631498139,34.09000,34.04,34.18
1631498203,34.09000,34.04,34.18
1631498267,34.09000,34.04,34.18
1631498331,34.09000,34.04,34.18
1631498395,34.09000,34.04,34.18
1631498459,34.09000,34.04,34.18
1631498523,34.09000,34.04,34.18
1631498587,34.09000,34.04,34.18
1631498652,34.09000,34.04,34.18
1631498716,34.09000,34.04,34.18
1631498780,34.09000,34.04,34.18
1631498845,34.09000,34.04,34.18
1631498909,34.09000,34.04,34.18
1631498974,34.09000,34.04,34.18
1631499038,34.09000,34.04,34.18
1631499102,34.09000,34.04,34.18
1631499166,34.09000,34.04,34.18
1631499230,34.09000,34.04,34.18
1631499294,34.09000,34.04,34.18
1631499358,34.09000,34.04,34.18
1631499422,34.09000,34.04,34.18
1631499486,34.09000,34.04,34.18
1631499550,34.09000,34.04,34.18
1631499614,34.09000,34.04,34.18
1631499678,34.09000,34.04,34.18
1631499742,34.09000,34.04,34.18
1631499806,34.09000,34.04,34.18
1631499870,34.09000,34.04,34.18
